x,responseFunction
4.1117e-07,0.00288
4.1676e-07,0.00947
4.2179e-07,0.03031
4.257e-07,0.08076
4.2961e-07,0.19042
4.3408e-07,0.30556
4.3687e-07,0.40863
4.4302e-07,0.44373
4.486e-07,0.46458
4.5363e-07,0.46898
4.581e-07,0.49859
4.6369e-07,0.50299
4.6983e-07,0.5359
4.7486e-07,0.53591
4.8045e-07,0.56882
4.8771e-07,0.58528
4.9218e-07,0.60832
4.9721e-07,0.61436
5.0419e-07,0.64233
5.1117e-07,0.63084
5.1844e-07,0.65388
5.2291e-07,0.65827
5.2961e-07,0.67199
5.3547e-07,0.66598
5.4358e-07,0.68683
5.5e-07,0.67917
5.581e-07,0.70386
5.6453e-07,0.70003
5.7235e-07,0.7165
5.7989e-07,0.70829
5.8827e-07,0.7253
5.9637e-07,0.70887
6.0447e-07,0.7215
6.1564e-07,0.68205
6.2542e-07,0.69633
6.3687e-07,0.66839
6.4581e-07,0.67554
6.5866e-07,0.65693
6.6872e-07,0.65366
6.9469e-07,0.61808
7.0223e-07,0.61371
7.1899e-07,0.5803
7.3743e-07,0.56006
7.743e-07,0.49161
7.9385e-07,0.47137
7.9777e-07,0.47014
7.9916e-07,0.46864
8.1034e-07,0.43632
8.1816e-07,0.42043
8.3631e-07,0.35907
8.4749e-07,0.33497
8.5978e-07,0.31526
8.7179e-07,0.28952
8.8045e-07,0.23252
8.8631e-07,0.16017
8.9218e-07,0.07849
8.9832e-07,0.02697
9.0587e-07,0.00835
9.1453e-07,0.00453
